epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,6934.82,1.18092,0.71723,1.10257,0.74502,0.6375,0.67138,0.41937,1.16247,0.56315,1.11226,0.004357,0.004357,0.004357
59,7031.29,1.17436,0.71608,1.09875,0.74999,0.63578,0.67361,0.42007,1.16226,0.56228,1.1119,0.004258,0.004258,0.004258
60,7127.64,1.17396,0.70496,1.10029,0.74488,0.63374,0.67526,0.42085,1.1629,0.56254,1.11249,0.004159,0.004159,0.004159
61,7224.2,1.17922,0.70773,1.10149,0.74941,0.63648,0.67628,0.42148,1.16263,0.56082,1.11241,0.00406,0.00406,0.00406
62,7320.73,1.16674,0.70782,1.09651,0.75262,0.63236,0.67704,0.41972,1.16222,0.55999,1.11195,0.003961,0.003961,0.003961
63,7417.04,1.16654,0.7033,1.09635,0.7487,0.6317,0.67843,0.42039,1.16219,0.55916,1.11147,0.003862,0.003862,0.003862
64,7513.53,1.16652,0.69758,1.096,0.74542,0.63941,0.67748,0.42018,1.16194,0.55836,1.11111,0.003763,0.003763,0.003763
65,7609.98,1.16455,0.69774,1.09256,0.73977,0.64176,0.6771,0.41997,1.16225,0.55781,1.111,0.003664,0.003664,0.003664
66,7713.28,1.16594,0.6989,1.09641,0.73434,0.6391,0.67806,0.42115,1.16225,0.55719,1.11066,0.003565,0.003565,0.003565
67,8426.99,1.16503,0.69157,1.09591,0.73233,0.6377,0.67627,0.42216,1.16269,0.55673,1.11069,0.003466,0.003466,0.003466
68,8568.13,1.1582,0.69129,1.08985,0.7383,0.63648,0.67749,0.42382,1.1627,0.55666,1.11027,0.003367,0.003367,0.003367
69,8664.56,1.15867,0.68911,1.09366,0.73844,0.6339,0.67802,0.42376,1.16306,0.55591,1.11056,0.003268,0.003268,0.003268
70,8761.41,1.15701,0.68266,1.08781,0.70104,0.60713,0.66857,0.42213,1.16377,0.55536,1.11072,0.003169,0.003169,0.003169
71,8858.22,1.15381,0.68628,1.0917,0.70968,0.60449,0.66948,0.42298,1.16391,0.55519,1.11081,0.00307,0.00307,0.00307
72,8997.72,1.15695,0.67431,1.09193,0.70203,0.60424,0.66901,0.42246,1.16392,0.55498,1.11089,0.002971,0.002971,0.002971
73,9162.83,1.15571,0.67556,1.09302,0.7074,0.60342,0.67074,0.42338,1.16389,0.55441,1.11082,0.002872,0.002872,0.002872
74,9259.09,1.14996,0.67136,1.08983,0.70143,0.60657,0.67183,0.42354,1.16408,0.55411,1.11084,0.002773,0.002773,0.002773
75,9355.63,1.14964,0.67243,1.08919,0.69477,0.60994,0.67178,0.42464,1.16398,0.55394,1.11082,0.002674,0.002674,0.002674
76,9451.95,1.14536,0.669,1.08574,0.68804,0.61382,0.67354,0.42576,1.16367,0.5532,1.1105,0.002575,0.002575,0.002575
77,9548.37,1.1425,0.66722,1.0859,0.69437,0.61697,0.67574,0.42459,1.16384,0.55297,1.11052,0.002476,0.002476,0.002476
78,9644.94,1.14118,0.66463,1.08489,0.69405,0.61711,0.67666,0.42521,1.16407,0.55234,1.11067,0.002377,0.002377,0.002377
79,9741.25,1.13566,0.66282,1.07928,0.68537,0.6144,0.67664,0.4249,1.16396,0.55164,1.11065,0.002278,0.002278,0.002278
80,9837.66,1.13294,0.65389,1.07709,0.68277,0.63002,0.67723,0.42306,1.16367,0.55126,1.11025,0.002179,0.002179,0.002179
81,9934.23,1.13342,0.65601,1.08045,0.68383,0.63826,0.67896,0.42257,1.16404,0.55094,1.11045,0.00208,0.00208,0.00208
82,10030.8,1.13109,0.65212,1.08219,0.68782,0.63403,0.67876,0.4231,1.16431,0.55028,1.11056,0.001981,0.001981,0.001981
83,10127.2,1.129,0.64713,1.07867,0.68771,0.63169,0.67883,0.42333,1.16454,0.54982,1.11082,0.001882,0.001882,0.001882
84,10223.6,1.12175,0.64469,1.07448,0.6926,0.63084,0.67942,0.42315,1.1644,0.54918,1.11079,0.001783,0.001783,0.001783
85,10320.1,1.12181,0.64571,1.07389,0.69392,0.63091,0.68014,0.42653,1.16492,0.54877,1.11117,0.001684,0.001684,0.001684
86,10416.6,1.11953,0.6436,1.07447,0.69704,0.62816,0.67885,0.42564,1.16473,0.54836,1.11112,0.001585,0.001585,0.001585
87,10513.1,1.12167,0.6391,1.07343,0.69631,0.6225,0.67875,0.42611,1.16514,0.54803,1.11133,0.001486,0.001486,0.001486
88,10609.7,1.11778,0.63268,1.07345,0.70133,0.61995,0.67743,0.42598,1.16508,0.54746,1.11113,0.001387,0.001387,0.001387
89,10706.1,1.11358,0.62471,1.06842,0.70198,0.62218,0.67773,0.42561,1.16535,0.54726,1.11149,0.001288,0.001288,0.001288
90,10802.6,1.11283,0.62958,1.06869,0.70419,0.61862,0.68013,0.42647,1.1652,0.54676,1.11126,0.001189,0.001189,0.001189
91,10918.4,1.09322,0.5663,1.08407,0.70458,0.61878,0.67978,0.42667,1.16526,0.54674,1.11125,0.00109,0.00109,0.00109
92,11014.4,1.08097,0.55653,1.07835,0.7053,0.61758,0.67976,0.42646,1.16527,0.54667,1.11119,0.000991,0.000991,0.000991
93,11110.3,1.07715,0.5487,1.07686,0.70574,0.61782,0.6804,0.42661,1.16525,0.54623,1.11125,0.000892,0.000892,0.000892
94,11206.1,1.06752,0.5463,1.07249,0.70334,0.61847,0.68069,0.42654,1.16516,0.54585,1.11133,0.000793,0.000793,0.000793
95,11302,1.07217,0.54209,1.07417,0.71211,0.62448,0.68141,0.42692,1.1651,0.54543,1.11114,0.000694,0.000694,0.000694
96,11397.8,1.06393,0.53571,1.07083,0.71463,0.62347,0.68239,0.42724,1.1654,0.54537,1.11131,0.000595,0.000595,0.000595
97,11493.6,1.0617,0.53512,1.06961,0.71154,0.62607,0.68316,0.42768,1.16573,0.54521,1.11139,0.000496,0.000496,0.000496
98,11589.5,1.05459,0.5261,1.06289,0.71442,0.62329,0.68311,0.42824,1.166,0.545,1.11159,0.000397,0.000397,0.000397
99,11685.3,1.053,0.52789,1.06504,0.71372,0.62333,0.68289,0.42813,1.16609,0.54467,1.11156,0.000298,0.000298,0.000298
100,11781.2,1.04895,0.52218,1.06149,0.71079,0.62338,0.68263,0.42883,1.16622,0.54471,1.11167,0.000199,0.000199,0.000199
